Rank,Symbol,Name,Market Cap,Volume,1d%,7d%,30d%,90d%,6mo%,1y%,2y%,3y%,4y%
38,MELI,"MercadoLibre, Inc.",97909858304,425181,0.77,-1.52,-5.7,12.25,26.59,59.8,48.66,101.88,424.68
39,LRCX,Lam Research Corporation,90132643840,8788695,-0.17,-8.03,-15.46,-34.7,-26.92,22.33,11.42,173.42,563.14
40,CTAS,Cintas Corporation,88221655040,1015828,0.36,-2.22,4.78,21.08,41.47,87.21,111.43,257.29,441.6
41,MDLZ,"Mondelez International, Inc.",86141779968,5203273,0.86,-2.54,-9.33,-1.52,-8.34,-8.47,5.51,33.92,59.06
42,CRWD,"CrowdStrike Holdings, Inc.",85830868992,2481067,-0.89,2.26,17.37,-5.12,6.24,134.17,67.02,246.48,
43,PYPL,"PayPal Holdings, Inc.",84955242496,5995413,0.77,-2.53,3.78,37.1,45.8,33.47,-55.87,-50.1,-7.55
44,ABNB,"Airbnb, Inc.",84500406272,5417725,2.9,-1.56,-0.18,-10.58,-17.47,14.75,-21.22,,
45,CDNS,"Cadence Design Systems, Inc.",83378700288,1634823,1.46,1.03,8.75,-2.48,-2.76,32.58,58.63,208.08,511.81
46,SNPS,"Synopsys, Inc.",83191193600,732638,1.41,-2.64,2.37,-11.66,-5.97,23.42,44.19,180.28,455.1
47,KLAC,KLA Corporation,82507186176,1179533,0.19,-7.13,-23.13,-28.54,-13.21,34.38,44.96,231.95,529.05
48,REGN,"Regeneron Pharmaceuticals, Inc.",81686732800,654420,-0.17,-9.97,-26.56,-32.11,-23.53,-0.42,17.11,17.58,74.74
49,MAR,Marriott International,77860052992,907838,0.33,-2.0,6.99,10.14,14.01,58.52,72.2,208.31,152.79
50,MRVL,"Marvell Technology, Inc.",77836730368,6378593,0.58,-2.59,23.47,18.96,10.71,50.6,0.25,150.27,400.39
51,CEG,Constellation Energy Corporatio,73631604736,2352942,0.36,-0.62,-10.1,15.3,31.71,155.37,,,
52,DASH,"DoorDash, Inc.",71531192320,4731184,-2.26,-1.57,20.72,58.36,30.33,139.9,10.36,,
53,FTNT,"Fortinet, Inc.",70858579968,5019385,1.83,-4.87,15.09,55.43,29.63,35.94,25.72,262.98,476.8
54,WDAY,"Workday, Inc.",68751597568,1208953,-0.18,-1.78,7.75,10.1,-2.81,26.94,-7.13,42.78,38.9
55,ORLY,"O'Reilly Automotive, Inc.",68634296320,290457,-0.98,-3.23,0.99,13.93,9.91,31.08,71.69,175.41,233.79
56,CSX,CSX Corporation,66665476096,7197585,-0.09,-5.34,0.9,-1.8,-8.59,8.87,-3.55,54.07,65.79
57,ADSK,"Autodesk, Inc.",66342285312,1357070,0.87,-1.93,11.18,21.28,22.6,52.86,8.28,31.54,103.07
58,TEAM,Atlassian Corporation,63923277824,1467058,-0.92,-0.16,38.59,34.0,23.88,42.71,-37.77,43.34,140.21
59,TTD,"The Trade Desk, Inc.",61153820672,5961702,3.75,-4.21,7.21,22.73,50.77,66.13,26.84,188.74,716.91
60,ROP,"Roper Technologies, Inc.",58916974592,337674,0.27,-2.78,0.64,-2.97,2.13,22.64,14.55,38.78,93.55
61,PCAR,PACCAR Inc.,57667866624,1441427,-0.35,-5.29,6.27,1.6,-3.92,50.59,112.49,140.59,209.68
62,NXPI,NXP Semiconductors N.V.,56000733184,2126509,0.2,-2.95,-7.54,-23.89,-11.22,22.39,-0.18,95.0,171.55
63,CHTR,"Charter Communications, Inc.",55326638080,657121,1.11,-1.75,16.5,18.84,40.82,18.46,-40.35,-30.27,15.47
64,CPRT,"Copart, Inc.",53390237696,8154315,-1.95,-2.34,-0.75,2.63,1.46,29.27,49.05,156.19,330.2
65,FANG,"Diamondback Energy, Inc.",52984324096,1405509,0.74,1.8,-5.88,-11.72,2.87,47.22,92.07,462.85,117.58
66,MNST,Monster Beverage Corporation,52224323584,3833783,-0.06,-3.66,7.9,6.36,-7.91,-6.2,13.29,47.89,84.6
67,AEP,American Electric Power Company,51552292864,2390807,0.1,2.42,0.02,7.38,18.68,23.03,24.53,34.2,50.67
68,PAYX,"Paychex, Inc.",51044331520,1343766,0.83,-4.64,2.1,15.8,20.18,32.82,13.89,121.25,130.94
69,FAST,Fastenal Company,46873534464,1976470,0.28,-3.0,16.48,19.82,11.94,55.58,39.14,111.84,210.11
70,ROST,"Ross Stores, Inc.",46221082624,3677807,0.04,-2.14,-2.16,-6.19,-5.23,36.62,28.1,71.9,59.49
71,DDOG,"Datadog, Inc.",46015479808,6337974,1.53,10.7,8.22,3.58,8.72,41.64,-26.17,58.76,
72,ODFL,"Old Dominion Freight Line, Inc.",45759025152,668026,1.19,-7.55,10.23,5.29,-1.28,40.83,22.07,140.92,365.54
73,BKR,Baker Hughes Company,43845898240,8090698,3.36,0.45,18.53,23.5,47.67,53.19,94.12,227.54,114.21
74,EA,Electronic Arts Inc.,43723530240,1981701,0.35,4.59,15.98,13.81,23.35,33.3,27.31,23.47,92.75
75,KDP,Keurig Dr Pepper Inc.,43460661248,8265664,1.65,-3.49,-11.54,-1.29,11.89,6.45,-4.7,19.4,34.25
76,XEL,Xcel Energy Inc.,40225652736,2056959,0.69,2.04,11.94,31.01,48.93,16.65,14.77,22.89,58.69
77,VRSK,"Verisk Analytics, Inc.",40132169728,427520,0.91,-0.28,2.58,1.23,21.2,30.72,27.21,66.39,147.13
78,EXC,Exelon Corporation,38917066752,5510288,-0.95,0.86,-1.21,11.26,8.85,2.51,10.34,67.47,41.47
79,GEHC,GE HealthCare Technologies Inc.,38788517888,5155646,2.88,-0.57,-6.44,2.81,-8.71,10.37,,,
80,CTSH,Cognizant Technology Solutions ,38461067264,2933088,1.64,-4.45,1.4,5.95,2.38,28.1,-7.55,35.93,18.74
81,LULU,lululemon athletica inc.,37853376512,1338969,2.14,-3.19,12.47,5.67,-31.26,-14.45,-23.07,-1.52,110.25
82,KHC,The Kraft Heinz Company,37339168768,11864083,0.98,-5.07,-10.93,-4.89,-9.59,-11.29,-1.73,8.0,-15.33
83,CCEP,Coca-Cola Europacific Partners ,35296899072,709135,-0.13,0.32,-0.92,4.65,12.28,25.12,50.06,126.08,88.22
84,MCHP,Microchip Technology Incorporat,34970091520,8472261,0.37,-6.81,-16.72,-30.94,-25.08,-16.53,-23.27,32.1,73.09
85,IDXX,"IDEXX Laboratories, Inc.",34277754880,649981,0.55,-4.27,-11.81,-16.2,-24.91,-7.16,-36.07,23.41,106.05
86,TTWO,"Take-Two Interactive Software, ",32578809856,1324040,-0.27,3.41,20.56,20.38,28.91,38.4,3.31,23.41,74.51
87,CSGP,"CoStar Group, Inc.",31267647488,4358612,5.8,0.53,0.75,-0.91,-13.01,-4.83,-4.61,9.65,91.4
88,ZS,"Zscaler, Inc.",30641340416,1200540,-1.67,0.7,8.05,-1.07,-0.73,33.21,-39.09,71.52,309.5
89,ANSS,"ANSYS, Inc.",29928886272,434417,0.8,-1.18,4.92,3.59,1.9,5.13,-16.77,15.9,102.45
90,DXCM,"DexCom, Inc.",29388367872,3076243,0.48,7.01,8.07,-35.17,-43.73,-39.49,-47.19,-27.17,108.29
91,ON,ON Semiconductor Corporation,28660393984,4774383,0.99,-3.79,-5.2,-14.52,-13.28,-24.39,-3.54,215.42,211.76
92,WBD,"Warner Bros. Discovery, Inc. - ",24409040896,43234629,4.74,6.65,28.72,24.69,18.31,-28.11,-59.15,-54.81,-64.83
93,CDW,CDW Corporation,23453132800,1317243,1.11,-11.03,-22.02,-26.42,-28.42,4.67,-12.24,58.2,123.16
94,GFS,GlobalFoundries Inc.,23023605760,1449695,-1.7,-2.44,4.44,-23.45,-20.75,-29.9,-34.91,,
95,BIIB,Biogen Inc.,22732165120,1560602,0.37,-9.32,-16.02,-30.67,-28.3,-49.49,-33.39,-44.19,-53.3
96,ILMN,"Illumina, Inc.",20884447232,3065082,-2.46,-13.08,-5.94,5.15,0.18,-32.5,-64.81,-63.99,-51.83
97,MDB,"MongoDB, Inc.",20813471744,1056458,-2.56,-3.36,2.28,9.1,-31.19,-24.77,-49.61,37.49,195.75
98,SMCI,"Super Micro Computer, Inc.",15107576832,99856194,-8.74,11.06,-45.44,-70.58,-77.06,-1.4,476.41,817.17,1586.27
99,MRNA,"Moderna, Inc.",14215176192,7307516,-0.94,-13.59,-37.24,-70.48,-62.34,-70.03,-85.04,-54.85,127.04
100,DLTR,"Dollar Tree, Inc.",13583195136,5804717,-2.61,3.22,-9.26,-39.73,-57.64,-52.05,-54.37,-34.62,-35.88
